time_s,temperature_C,pwm,heat_cool
160.62,21.25,0,1
161.20,21.25,0,1
161.78,21.25,0,1
162.36,21.25,0,1
162.94,21.25,0,1
163.52,21.25,0,1
164.10,21.25,0,1
164.68,21.25,0,1
165.26,21.25,0,1
165.84,21.25,0,1
166.42,21.25,0,1
167.00,21.25,0,1
167.58,21.25,0,1
168.16,21.25,0,1
168.74,21.25,0,1
169.32,21.25,0,1
169.91,21.25,0,1
170.49,21.25,0,1
171.07,21.25,0,1
171.65,21.25,0,1
172.23,21.25,0,1
172.81,21.25,0,1
173.39,21.25,0,1
173.97,21.25,0,1
174.55,21.25,0,1
175.13,21.25,0,1
175.71,21.25,0,1
176.29,21.25,0,1
176.87,21.25,0,1
177.45,21.25,0,1
178.03,21.25,0,1
178.61,21.25,0,1
179.19,21.25,0,1
179.77,21.25,0,1
180.35,21.25,0,1
180.93,21.25,0,1
181.52,21.25,0,1
182.10,21.25,0,1
182.68,21.25,0,1
183.26,21.25,0,1
183.84,21.25,0,1
184.42,21.25,0,1
185.00,21.25,0,1
185.58,21.25,0,1
186.16,21.25,0,1
186.74,21.25,0,1
187.32,21.25,0,1
187.90,21.25,0,1
188.48,21.25,0,1
189.06,21.25,0,1
189.64,21.25,0,1
190.22,21.25,0,1
190.80,21.25,0,1
191.38,21.25,0,1
191.96,21.25,0,1
192.54,21.25,0,1
193.13,21.25,0,1
193.71,21.25,0,1
194.29,21.25,0,1
194.87,21.25,0,1
195.45,21.25,0,1
196.03,21.25,0,1
196.61,21.25,0,1
197.19,21.25,0,1
197.77,21.25,0,1
198.35,21.25,0,1
198.93,21.25,0,1
199.51,21.25,0,1
200.09,21.25,0,1
200.67,21.25,0,1
201.25,21.25,0,1
201.83,21.25,0,1
202.41,21.25,0,1
202.99,21.25,0,1
203.57,21.25,0,1
204.15,21.25,0,1
204.74,21.25,0,1
205.32,21.25,0,1
205.90,21.25,0,1
206.48,21.25,0,1
207.06,21.25,0,1
207.64,21.25,0,1
208.22,21.25,0,1
208.80,21.25,0,1
209.38,21.25,0,1
209.96,21.25,0,1
210.54,21.25,0,1
211.12,21.25,0,1
211.70,21.25,0,1
212.28,21.25,0,1
212.86,21.25,0,1
213.44,21.25,0,1
214.02,21.25,0,1
214.60,21.25,0,1
215.18,21.25,0,1
215.76,21.25,0,1
216.34,21.25,0,1
216.93,21.25,0,1
217.51,21.25,0,1
218.09,21.25,0,1
218.67,21.25,0,1
219.25,21.25,0,1
219.83,21.25,0,1
220.41,21.25,0,1
220.99,21.25,0,1
221.57,21.25,0,1
222.15,21.25,0,1
222.73,21.25,0,1
223.31,21.25,0,1
223.89,21.25,0,1
224.47,21.25,0,1
225.05,21.25,0,1
225.63,21.25,0,1
226.21,21.25,0,1
226.79,21.25,0,1
227.38,21.25,0,1
227.96,21.25,0,1
228.54,21.25,0,1
229.12,21.25,0,1
229.70,21.25,0,1
230.28,21.25,0,1
230.86,21.25,0,1
231.44,21.25,0,1
232.02,21.25,0,1
232.60,21.25,0,1
233.18,21.25,0,1
233.76,21.25,0,1
234.34,21.25,0,1
234.92,21.25,0,1
235.50,21.25,0,1
236.08,21.25,0,1
236.66,21.25,0,1
237.24,21.25,0,1
237.83,21.25,0,1
238.41,21.25,0,1
238.99,21.25,0,1
239.57,21.25,0,1
240.15,21.25,0,1
240.73,21.25,0,1
241.31,21.25,0,1
241.89,21.25,0,1
242.47,21.25,0,1
243.05,21.25,0,1
243.63,21.25,0,1
244.21,21.25,0,1
244.79,21.25,0,1
245.37,21.25,0,1
245.95,21.25,0,1
246.53,21.25,0,1
247.11,21.25,0,1
247.70,21.25,0,1
248.27,21.25,0,1
248.86,21.25,0,1
249.44,21.25,0,1
250.02,21.25,0,1
250.60,21.25,0,1
251.18,21.25,0,1
251.76,21.25,0,1
252.34,21.25,0,1
252.92,21.25,0,1
253.50,21.25,0,1
254.08,21.25,0,1
254.66,21.25,0,1
255.24,21.25,0,1
255.82,21.25,0,1
256.40,21.25,0,1
256.98,21.25,0,1
257.57,21.25,0,1
258.15,21.25,0,1
258.73,21.25,0,1
259.31,21.25,0,1
259.89,21.25,0,1
260.47,21.25,0,1
261.05,21.25,0,1
261.63,21.25,0,1
262.21,21.25,0,1
262.79,21.25,0,1
263.37,21.25,0,1
263.95,21.25,0,1
264.53,21.25,0,1
265.11,21.25,0,1
265.69,21.25,0,1
266.27,21.25,0,1
266.86,21.25,0,1
267.44,21.25,0,1
268.02,21.25,0,1
268.60,21.25,0,1
269.18,21.25,0,1
269.76,21.25,0,1
270.34,21.25,0,1
270.92,21.25,0,1
271.50,21.25,0,1
272.08,21.25,0,1
272.66,21.25,0,1
273.24,21.25,0,1
273.82,21.25,0,1
274.40,21.25,0,1
274.98,21.25,0,1
275.56,21.25,0,1
276.14,21.25,0,1
276.72,21.25,0,1
277.30,21.25,0,1
277.89,21.25,0,1
278.47,21.25,0,1
279.05,21.26,0,1
279.63,21.26,0,1
280.21,21.26,0,1
280.79,21.26,0,1
281.37,21.26,0,1
281.95,21.26,0,1
282.53,21.26,0,1
283.11,21.26,0,1
283.69,21.26,0,1
284.27,21.26,0,1
284.85,21.25,0,1
285.43,21.26,0,1
286.01,21.26,0,1
286.60,21.25,0,1
287.17,21.25,0,1
287.76,21.26,0,1
288.34,21.25,0,1
288.92,21.25,0,1
289.50,21.25,0,1
290.08,21.25,0,1
290.66,21.25,0,1
291.24,21.25,0,1
291.82,21.25,0,1
292.40,21.25,0,1
292.98,21.26,0,1
293.56,21.26,0,1
294.14,21.26,0,1
294.72,21.26,0,1
